,Best,Dataset,Model,Parameter,Sig Datasets
128,False,Laptop,TDParse,0.5,2
129,False,Laptop,TDParse,2.0,2
130,False,Laptop,TDParsePlus,1.0,0
131,False,Laptop,TDParsePlus,3.0517578125e-05,5
132,False,Laptop,TDParsePlus,0.0001220703125,5
133,False,Laptop,TDParsePlus,0.00048828125,1
134,False,Laptop,TDParsePlus,0.001953125,0
135,True,Laptop,TDParsePlus,0.0078125,0
136,False,Laptop,TDParsePlus,0.03125,0
137,False,Laptop,TDParsePlus,0.125,1
138,False,Laptop,TDParsePlus,0.5,0
139,False,Laptop,TDParsePlus,2.0,0
140,False,Restaurant,Target Independent,1.0,0
141,False,Restaurant,Target Independent,3.0517578125e-05,5
142,False,Restaurant,Target Independent,0.0001220703125,5
143,False,Restaurant,Target Independent,0.00048828125,5
144,False,Restaurant,Target Independent,0.001953125,5
145,False,Restaurant,Target Independent,0.0078125,1
146,True,Restaurant,Target Independent,0.03125,0
147,False,Restaurant,Target Independent,0.125,0
148,False,Restaurant,Target Independent,0.5,0
149,False,Restaurant,Target Independent,2.0,0
150,False,Restaurant,Target Dependent Minus,1.0,4
151,False,Restaurant,Target Dependent Minus,3.0517578125e-05,5
152,False,Restaurant,Target Dependent Minus,0.0001220703125,5
153,False,Restaurant,Target Dependent Minus,0.00048828125,5
154,False,Restaurant,Target Dependent Minus,0.001953125,4
155,False,Restaurant,Target Dependent Minus,0.0078125,0
156,True,Restaurant,Target Dependent Minus,0.03125,0
157,False,Restaurant,Target Dependent Minus,0.125,1
158,False,Restaurant,Target Dependent Minus,0.5,5
159,False,Restaurant,Target Dependent Minus,2.0,5
160,False,Restaurant,Target Dependent,1.0,1
161,False,Restaurant,Target Dependent,3.0517578125e-05,5
162,False,Restaurant,Target Dependent,0.0001220703125,5
163,False,Restaurant,Target Dependent,0.00048828125,5
164,False,Restaurant,Target Dependent,0.001953125,3
165,True,Restaurant,Target Dependent,0.0078125,0
166,False,Restaurant,Target Dependent,0.03125,0
167,False,Restaurant,Target Dependent,0.125,1
168,False,Restaurant,Target Dependent,0.5,1
169,False,Restaurant,Target Dependent,2.0,1
170,False,Restaurant,Target Dependent Plus,1.0,2
171,False,Restaurant,Target Dependent Plus,3.0517578125e-05,5
172,False,Restaurant,Target Dependent Plus,0.0001220703125,5
173,False,Restaurant,Target Dependent Plus,0.00048828125,5
174,False,Restaurant,Target Dependent Plus,0.001953125,0
175,True,Restaurant,Target Dependent Plus,0.0078125,0
176,False,Restaurant,Target Dependent Plus,0.03125,0
177,False,Restaurant,Target Dependent Plus,0.125,0
178,False,Restaurant,Target Dependent Plus,0.5,2
179,False,Restaurant,Target Dependent Plus,2.0,2
180,False,Restaurant,TDParse Minus,1.0,0
181,False,Restaurant,TDParse Minus,3.0517578125e-05,5
182,False,Restaurant,TDParse Minus,0.0001220703125,5
183,False,Restaurant,TDParse Minus,0.00048828125,5
184,False,Restaurant,TDParse Minus,0.001953125,5
185,False,Restaurant,TDParse Minus,0.0078125,0
186,False,Restaurant,TDParse Minus,0.03125,0
187,True,Restaurant,TDParse Minus,0.125,0
188,False,Restaurant,TDParse Minus,0.5,0
